customer_id_legacy,customer_id_new
195,A105
161,A118
192,A156
157,A168
166,A102
155,A100
139,A157
197,A137
139,A114
190,A133
176,A160
132,A134
105,A163
187,A124
118,A123
179,A111
139,A117
191,A114
196,A179
158,A126
158,A171
147,A159
140,A145
112,A188
144,A116
188,A192
152,A152
141,A107
199,A178
162,A126
126,A145
137,A149
159,A170
106,A102
104,A192
144,A163
157,A143
130,A152
122,A123
141,A159
109,A102
131,A119
152,A145
129,A114
138,A124
130,A193
181,A177
199,A170
101,A116
177,A183
176,A199
192,A108
111,A137
138,A147
165,A159
195,A162
112,A185
145,A101
126,A187
116,A171
194,A110
197,A163
159,A176
163,A180
187,A171
134,A120
169,A117
182,A193
129,A163
170,A181
173,A194
195,A137
197,A131
162,A110
127,A144
159,A188
178,A132
193,A140
136,A107
192,A110
121,A185
167,A150
119,A187
195,A140
199,A116
167,A175
190,A145
163,A131
116,A178
111,A179
121,A153
116,A185
109,A191
164,A119
121,A132
189,A173
181,A139
149,A131
113,A196
163,A101
146,A196
128,A132
175,A176
135,A129
198,A132
151,A176
175,A125
106,A121
128,A165
110,A137
132,A189
105,A145
178,A114
131,A197
150,A143
174,A148
157,A174
186,A160
125,A166
197,A105
145,A108
197,A105
128,A172
103,A194
180,A131
198,A140
112,A175
138,A107
114,A171
128,A149
128,A191
174,A161
131,A183
101,A161
146,A106
177,A174
183,A183
121,A179
174,A103
126,A105
166,A157
180,A121
155,A125
191,A102
192,A140
120,A159
146,A113
179,A174
158,A181
183,A111
162,A110
196,A179
125,A166
136,A107
178,A132
